# Coluna1	Coluna2	Coluna3
-0.08330	-0.06470	0.07185
-0.08354	-0.06402	0.07229
-0.08564	-0.06442	0.07207
-0.08754	-0.06493	0.07154
-0.08706	-0.06490	0.07254
-0.08730	-0.06530	0.07530
-0.08744	-0.06536	0.07550
-0.08742	-0.06525	0.07439
-0.08552	-0.06474	0.07492
-0.08390	-0.06435	0.07585
-0.08390	-0.06435	0.07585
-0.08242	-0.06159	0.07493
-0.08157	-0.06089	0.07399
-0.08141	-0.05851	0.07315
-0.08117	-0.05506	0.07252
-0.07870	-0.05615	0.07355
-0.07867	-0.05728	0.07322
-0.07740	-0.05364	0.07189
-0.07659	-0.05174	0.06985
-0.07666	-0.05112	0.06738
-0.07550	-0.04820	0.06450
-0.07606	-0.04816	0.06222
-0.07534	-0.04844	0.06140
-0.07259	-0.04550	0.05948
-0.07214	-0.04324	0.05588
-0.07245	-0.04330	0.05330
-0.07110	-0.03979	0.05091
-0.07443	-0.03751	0.04776
-0.07631	-0.03851	0.04500
-0.07651	-0.03611	0.04195
-0.07735	-0.03235	0.03875
-0.08013	-0.03178	0.03578
-0.08374	-0.03185	0.03437
-0.08517	-0.02850	0.03139
-0.08295	-0.02121	0.02735
-0.07955	-0.01445	0.02455
-0.07534	-0.00691	0.01862
-0.07372	0.00113	0.00860
-0.07054	0.00797	0.00418
-0.06467	0.01440	0.00605
-0.06165	0.02115	0.00570
-0.05947	0.02350	0.00459
-0.05607	0.02718	0.00634
-0.05609	0.02895	0.00734
-0.05344	0.02831	0.00654
-0.04655	0.03295	0.00735
-0.05586	0.03784	0.00737
-0.05746	0.03697	0.01044
-0.05012	0.03942	0.01453
-0.04909	0.04300	0.01554
-0.05380	0.04760	0.01380
-0.04829	0.07833	0.00863
-0.04400	0.09775	0.00699
-0.04303	0.09599	0.00708
-0.04256	0.08841	0.00579
-0.04200	0.08125	0.00455
-0.04416	0.07413	0.00363
-0.04456	0.06689	0.00294
-0.04470	0.05827	0.00234
-0.04415	0.05291	0.00182
-0.04295	0.04920	0.00495
-0.04615	0.03826	0.01691
-0.04784	0.03025	0.02725
-0.05020	0.02400	0.03367
-0.05240	0.01574	0.03818
-0.05340	0.00810	0.04210
-0.05418	0.00152	0.04642
-0.05421	-0.00396	0.04698
-0.05706	-0.01237	0.05267
-0.06095	-0.02098	0.06069
-0.06075	-0.02880	0.06295
-0.06442	-0.03654	0.06369
-0.06963	-0.04599	0.06847
-0.07361	-0.05358	0.07188
-0.07599	-0.06049	0.07507
-0.07810	-0.06640	0.08145
-0.08464	-0.06794	0.07954
-0.08713	-0.06641	0.07882
-0.08262	-0.07087	0.08217
-0.07901	-0.07993	0.08415
-0.08240	-0.08210	0.08350
-0.08306	-0.08155	0.08327
-0.08250	-0.08067	0.08315
-0.08326	-0.08321	0.08361
-0.08406	-0.08595	0.08351
-0.08410	-0.08615	0.08295
-0.08410	-0.08615	0.08295
-0.08521	-0.08839	0.08377
-0.08613	-0.09025	0.08137
-0.08842	-0.08960	0.07372
-0.09700	-0.09125	0.06405
-0.09987	-0.09179	0.05552
-0.10054	-0.09438	0.05118
-0.10588	-0.09737	0.04032
-0.11579	-0.09983	0.02269
-0.12350	-0.10270	0.00715
-0.12714	-0.10214	-0.00741
-0.13793	-0.09498	-0.01561
-0.14338	-0.09238	-0.01501
-0.13700	-0.08120	-0.01226
-0.12270	-0.04835	-0.01255
-0.09422	-0.02335	-0.01076
-0.05815	0.02871	-0.00513
-0.00227	0.09010	0.00555
0.08195	0.13424	0.02420
0.17505	0.16870	0.03980
0.25094	0.19227	0.03192
0.32961	0.21985	0.02196
0.43878	0.26720	0.00684
0.57066	0.33400	-0.02532
0.69575	0.42215	-0.07330
0.81595	0.53635	-0.12487
0.92195	0.64997	-0.18835
1.01319	0.73126	-0.24721
1.08165	0.78023	-0.27528
1.09825	0.76255	-0.27230
1.03751	0.58628	-0.25963
0.92910	0.44007	-0.20949
0.79352	0.33626	-0.12677
0.62933	0.21707	-0.00161
0.44405	0.09890	0.15590
0.27879	0.00506	0.25455
0.17030	-0.07067	0.29226
0.10044	-0.12653	0.29960
0.03286	-0.17042	0.28869
-0.03370	-0.21255	0.26250
-0.06991	-0.23472	0.23597
-0.09369	-0.23471	0.19931
-0.10768	-0.22892	0.17013
-0.11568	-0.22769	0.15115
-0.12570	-0.23145	0.12635
-0.12929	-0.23610	0.10679
-0.12031	-0.22069	0.09276
-0.10552	-0.19558	0.07728
-0.08763	-0.18034	0.06180
-0.06840	-0.17460	0.05155
-0.06452	-0.16372	0.04261
-0.06203	-0.15166	0.03554
-0.05909	-0.14110	0.02988
-0.05605	-0.13013	0.02559
-0.05300	-0.11860	0.02205
-0.05511	-0.11154	0.01803
-0.05688	-0.10518	0.01631
-0.05609	-0.09829	0.01436
-0.05564	-0.09125	0.00938
-0.05515	-0.08470	0.00535
-0.05319	-0.07794	0.00375
-0.04986	-0.07335	0.00322
-0.04607	-0.06988	-0.00002
-0.04383	-0.06699	-0.00228
-0.04155	-0.06375	-0.00240
-0.04043	-0.06311	-0.00352
-0.03874	-0.06106	-0.00532
-0.03691	-0.05654	-0.00667
-0.03409	-0.05533	-0.00703
-0.03125	-0.05505	-0.00795
-0.02949	-0.05157	-0.00979
-0.02920	-0.04785	-0.01155
-0.02841	-0.04695	-0.01407
-0.02620	-0.04559	-0.01591
-0.02500	-0.04235	-0.01695
-0.02428	-0.04239	-0.01855
-0.02104	-0.04043	-0.01942
-0.01902	-0.03903	-0.02166
-0.01934	-0.03868	-0.02587
-0.01700	-0.03615	-0.02860
-0.01532	-0.03691	-0.03224
-0.01438	-0.03507	-0.03599
-0.01349	-0.03378	-0.03879
-0.01187	-0.03354	-0.04177
-0.00930	-0.03140	-0.04595
-0.00798	-0.03231	-0.04891
-0.00825	-0.03073	-0.05227
-0.00753	-0.02959	-0.05624
-0.00529	-0.02902	-0.05798
-0.00110	-0.02555	-0.05860
0.00395	-0.02567	-0.06650
0.00882	-0.01975	-0.07371
0.01250	-0.01437	-0.07631
0.01693	-0.01072	-0.08102
0.02350	-0.00610	-0.08655
0.02601	-0.00279	-0.08461
0.03425	0.00274	-0.08820
0.04327	0.00749	-0.09579
0.04857	0.01114	-0.09869
0.05430	0.01690	-0.10360
0.05768	0.02060	-0.12276
0.06183	0.02379	-0.13267
0.06731	0.02617	-0.13440
0.07258	0.02759	-0.14058
0.08135	0.03100	-0.14810
0.09229	0.04597	-0.15072
0.09843	0.04736	-0.15806
0.10788	0.05250	-0.16953
0.12182	0.06347	-0.18051
0.13160	0.06430	-0.19165
0.14208	0.07903	-0.20264
0.15620	0.09568	-0.21402
0.16947	0.09797	-0.21738
0.17943	0.09093	-0.22168
0.18780	0.09195	-0.23830
0.19596	0.10053	-0.24853
0.20200	0.10799	-0.25872
0.21062	0.13215	-0.27347
0.22156	0.15647	-0.28627
0.23460	0.15705	-0.29920
0.26163	0.17300	-0.31847
0.26508	0.18218	-0.33257
0.26902	0.18769	-0.34268
0.28436	0.19294	-0.35462
0.29120	0.19520	-0.36760
0.30038	0.21046	-0.38024
0.31065	0.22055	-0.38508
0.31578	0.22377	-0.39988
0.32343	0.23545	-0.41886
0.33955	0.25685	-0.42310
0.35562	0.27693	-0.43348
0.36288	0.29123	-0.44389
0.37599	0.29633	-0.44440
0.38609	0.29895	-0.44767
0.37650	0.30750	-0.46050
0.37419	0.31100	-0.45679
0.37663	0.31132	-0.45068
0.37221	0.31391	-0.44829
0.36356	0.31819	-0.44629
0.35790	0.31945	-0.44215
0.35254	0.32307	-0.43883
0.34811	0.32922	-0.43107
0.33535	0.32012	-0.41500
0.31555	0.29894	-0.39446
0.29910	0.28635	-0.37615
0.28261	0.27201	-0.35802
0.26340	0.25801	-0.34296
0.24234	0.24355	-0.32560
0.22201	0.22910	-0.30254
0.20350	0.21750	-0.28165
0.18475	0.20307	-0.26322
0.16922	0.18973	-0.24518
0.15342	0.17349	-0.22488
0.13388	0.15208	-0.20373
0.11165	0.13400	-0.18545
0.09198	0.12149	-0.16923
0.07759	0.10839	-0.15304
0.06508	0.09699	-0.13959
0.05438	0.08811	-0.12745
0.04630	0.07935	-0.11385
0.03493	0.06961	-0.10255
0.02325	0.05954	-0.09214
0.01355	0.04973	-0.08085
0.00342	0.04028	-0.06924
-0.00705	0.03285	-0.06050
-0.01503	0.02232	-0.05345
-0.02019	0.01397	-0.04635
-0.02584	0.00482	-0.03891
-0.03287	-0.00541	-0.03209
-0.03645	-0.01280	-0.02450
-0.03729	-0.01904	-0.01686
-0.03802	-0.02257	-0.01124
-0.04165	-0.02622	-0.00689
-0.04597	-0.03025	-0.00238
-0.04945	-0.03300	0.00055
-0.05089	-0.03556	0.00203
-0.05392	-0.03896	0.00243
-0.05622	-0.04083	0.00242
-0.05557	-0.04059	0.00364
-0.05525	-0.04075	0.00560
-0.05521	-0.04055	0.00616
-0.05535	-0.04044	0.00648
